"Property ID","Property Type","Listing Type","Bedrooms","Reporting Month","Occupancy Rate","Active Listing Nights","Currency","Revenue (USD)","Revenue Potential (USD)","ADR (USD)","Cleaning Fee Total (USD)","Number of Reservations","Reservation Days","Available Days","Blocked Days","Country","State","City","Postal Code","Neighborhood","Metropolitan Statistical Area","Latitude","Longitude","Active","Scraped During Month","Airbnb Property ID","Airbnb Host ID","Vrbo Property ID","Vrbo Host ID","Property Manager","Revenue (Native)","ADR (Native)","Revenue Potential (Native)","Cleaning Fee Total (Native)"
"abnb_52266029","Condominium (condo)","Entire home/apt","2","8/1/2025","0.233333","30","usd","425","439.17","60.71","73","2","7","23","1","Mexico","Yucatan","Merida","","Merida Nord-Este Zona 1","","21.0321","-89.58896","True","True","52266029","180345472","","","","8013.85","1144.84","8231.3","1383"
"abnb_52267677","Loft","Entire home/apt","1","8/1/2025","0.677419","31","usd","669","669","31.86","140","6","21","10","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.969978","-89.630745","True","True","52267677","353856288","10841830ha","","","12591.29","599.59","12539.1","2687"
"abnb_52276231","House","Entire home/apt","3","8/1/2025","0.870968","31","usd","4335","4335","160.56","0","10","27","4","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9818210602","-89.6194534302","True","True","52276231","16002357","","","","81224.36","3008.31","81251.12","0"
"abnb_52771095","Loft","Entire home/apt","1","8/1/2025","0.935484","31","usd","1823","1823","62.86","0","5","29","2","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97313","-89.62077","True","True","52771095","30847994","","","","34094.31","1175.67","34168.58","0"
"abnb_52779904","House","Entire home/apt","3","8/1/2025","0.548387","31","usd","3247","3247","191","304","6","17","14","0","Mexico","Yucatan","Merida","","Merida Norte Zona 1","","21.03312","-89.61804","True","True","52779904","12094155","2589230","","","61007.07","3588.65","60858.68","5840"
"abnb_52788263","Serviced apartment","Entire home/apt","1","8/1/2025","1","2","usd","81","1255.5","40.5","0","1","2","0","29","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97474","-89.61455","True","True","52788263","80962486","11556148ha","","","1509.01","754.51","23531.9","0"
"abnb_52803661","Apartment","Entire home/apt","1","8/1/2025","0.5","22","usd","593","835.6","53.91","193","5","11","11","9","Mexico","Yucatan","Merida","","","","20.95987","-89.61316","True","True","52803661","427483667","","","","11119.97","1010.91","15661.6","3648"
"abnb_898776748454834951","Apartment","Entire home/apt","1","8/1/2025","1","1","usd","26","806","26","3","1","1","0","30","Mexico","Yucatan","Merida","","Temozon Norte","","21.05354","-89.62999","True","True","898776748454834951","335508696","","","Sharebnb","494.9","494.9","15106.9","57"
"abnb_899287818198758525","Guest suite","Entire home/apt","1","8/1/2025","0.083333","24","usd","59","76.21","29.5","8","1","2","22","7","Mexico","Yucatan","Merida","","Merida Norte Zona 2","","21.0079488993","-89.622028554","True","True","899287818198758525","54214920","","","","1107.15","553.58","1428.38","148"
"abnb_899460461851621428","House","Entire home/apt","9","8/1/2025","0","0","usd","0","2690.01","0","0","0","0","6","25","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9740785","-89.6270956","True","True","899460461851621428","147358139","","","","0","0","50418.91","0"
"abnb_745660532381266458","Hotel","Private room","1","8/1/2025","0.193548","31","usd","120","120","20","41","3","6","25","0","Mexico","Yucatan","Merida","","Merida Oeste","","20.99479","-89.65347","True","True","745660532381266458","267574178","","","","2253.62","375.6","2249.17","777"
"abnb_745660650114529960","Condominium (condo)","Private room","0","8/1/2025","0.258065","31","usd","113","113","14.13","16","1","8","23","0","Mexico","Yucatan","Merida","","Merida Oeste","","20.99562","-89.65346","True","True","745660650114529960","267574178","","","","2067.79","258.47","2117.96","296"
"abnb_745797225194704128","Boutique hotel","Private room","1","8/1/2025","1","31","usd","1493","1493","48.16","0","1","31","0","0","Mexico","Yucatan","Merida","","Merida Norte Zona 1","","21.03491","-89.62156","True","True","745797225194704128","161729182","","","","28208.89","909.96","27983.37","217"
"abnb_746352350440649035","House","Entire home/apt","3","8/1/2025","0.375","16","usd","441","854.44","73.5","64","2","6","10","15","Mexico","Yucatan","Merida","","Merida Oeste","","21.0080098358","-89.6387161687","True","True","746352350440649035","4678439","","","","8230.5","1371.75","16014.76","1194"
"abnb_746409256113783943","House","Entire home/apt","2","8/1/2025","0.608696","23","usd","1345","1812.82","96.07","151","4","14","9","8","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.9694425553","-89.635784179","True","True","746409256113783943","88389883","","","","25244.67","1803.19","33977.76","2859"
"vrbo_3953495","House","Entire home/apt","4","8/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Este","","20.967337","-89.60694","True","True","","","3953495","","","0","0","0","0"
"abnb_861481193409228446","Bed & Breakfast","Private room","1","8/1/2025","0.516129","31","usd","374","374","23.38","0","8","16","15","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97727","-89.6262","True","True","861481193409228446","570817387","","","","7068.68","441.79","7009.9","0"
